Code,Literal,y_category,label_id,Literal_required_clean
J9809,Hiperreactividad bronquial,J,19,Hiperreactividad bronquial
J9801,broncoespástica,J,19,broncoespástica
I420,miocardiopatía dilatada,I,18,miocardiopatía dilatada
Y831,HTA irc 6,Y,34,HTA irc 6
R5600,Crisis febriles atípicas,R,27,Crisis febriles atípicas
Z9882,prótesis mama,Z,35,prótesis mama
M5126,hernia discal parto,M,22,hernia discal parto
N189,shock septico,N,23,shock septico
Z390,puerpera,Z,35,puerpera
O322XX0,podalica,O,24,podalica
H903,Hipoacusia bilateral congénita,H,17,Hipoacusia bilateral congénita
Z9049,Hemicolectomia derecha,Z,35,Hemicolectomia derecha
10D07Z6,Ventosa,1,1,Ventosa
BU4CZZZ,ECOGRAFIA TRANVAGINAL,B,11,ECOGRAFIA TRANVAGINAL
R339,RAO,R,27,RAO
O721,Hemorragia post parto,O,24,Hemorragia post parto
99893,síndrome mielodisplásico,9,9,síndrome mielodisplásico
O3413,mioma part,O,24,mioma part
O700,desgarro de 1er grado,O,24,desgarro de 1er grado
0Q8N3ZZ,Osteotomia tipo Weil derecha,0,0,Osteotomia tipo Weil derecha
V420,trasplante renal,V,31,trasplante renal
J382,Nódulo vocales,J,19,Nódulo vocales
B9620,Escherichia Coli,B,11,Escherichia Coli
Z6741,GS: 0 Rh negativo,Z,35,GS: 0 Rh negativo
2273,adenoma hipofisario,2,2,adenoma hipofisario
BW00ZZZ,RX abdomen,B,11,RX abdomen
3E0H73Z,Indometacina rectal,3,3,Indometacina rectal
O23592,itu 2t,O,24,itu 2t
F09,Deterioro congitivo,F,15,Deterioro congitivo
0YU50JZ,Hernia inguinal derecha,0,0,Hernia inguinal derecha
N871,CIN II parto,N,23,CIN II parto
E663,Sobrepeso parto,E,14,Sobrepeso parto
N62,ginecomàstia,N,23,ginecomàstia
0VN90ZZ,detorsión testicular derecho,0,0,detorsión testicular derecho
E860,deshidratado,E,14,deshidratado
J45909,Asma part,J,19,Asma part
E211,Hiperparatiroidismo secundario a déficit de vit D,E,14,Hiperparatiroidismo secundario a déficit de vit D
G43909,cefalea migrañosa,G,16,cefalea migrañosa
E042,tiroides multinodular,E,14,tiroides multinodular
40390,HTA IRC,4,4,HTA IRC
37700,papiledema,3,3,papiledema
6823,miomectomía histeroscópica,6,6,miomectomía histeroscópica
98613,lma,9,9,lma
Z20822,SARS-CoV-2 negatius,Z,35,SARS-CoV-2 negatius
L03115,celulitis eid,L,21,celulitis eid
2270,Tumoración suprarrenal derecha,2,2,Tumoración suprarrenal derecha
Z794,insulino,Z,35,insulino
07BC0ZX,bsgc pelvic,0,0,bsgc pelvic
A46,ERISIPELA EN EXTREMIDAD SUPERIOR DERECHA,A,10,ERISIPELA EN EXTREMIDAD SUPERIOR DERECHA
0UT74ZZ,Anexectomía bilateral lap,0,0,Anexectomía bilateral lap
