y_category,precision,recall,f1_score,support
0,0.0,0.0,0.0,228.0
1,0.0,0.0,0.0,57.0
2,0.0,0.0,0.0,81.0
3,0.0,0.0,0.0,118.0
4,0.0,0.0,0.0,80.0
5,0.0,0.0,0.0,82.0
6,0.0,0.0,0.0,128.0
7,0.0,0.0,0.0,79.0
8,0.0,0.0,0.0,81.0
9,0.0,0.0,0.0,56.0
A,0.0,0.0,0.0,4.0
B,0.0,0.0,0.0,116.0
C,0.0,0.0,0.0,41.0
D,0.0,0.0,0.0,67.0
E,0.0,0.0,0.0,100.0
F,0.0,0.0,0.0,61.0
G,0.0,0.0,0.0,43.0
H,0.0,0.0,0.0,29.0
I,0.0,0.0,0.0,74.0
J,0.0,0.0,0.0,47.0
K,0.0,0.0,0.0,76.0
L,0.0,0.0,0.0,22.0
M,0.0,0.0,0.0,58.0
N,0.0,0.0,0.0,107.0
O,0.0,0.0,0.0,301.0
P,0.0,0.0,0.0,20.0
Q,0.0,0.0,0.0,29.0
R,0.0,0.0,0.0,72.0
S,0.0,0.0,0.0,14.0
T,0.0,0.0,0.0,14.0
U,0.0,0.0,0.0,4.0
V,0.0,0.0,0.0,98.0
W,0.0,0.0,0.0,1.0
X,0.0,0.0,0.0,2.0
Y,0.0,0.0,0.0,7.0
Z,0.1251824817518248,1.0,0.22251054168018164,343.0
