y_category,precision,recall,f1_score,support
0,0.5245398773006135,0.75,0.6173285198555957,228.0
1,0.5833333333333334,0.3684210526315789,0.45161290322580644,57.0
2,0.275,0.13580246913580246,0.18181818181818182,81.0
3,0.4788732394366197,0.576271186440678,0.5230769230769231,118.0
4,0.4782608695652174,0.275,0.3492063492063492,80.0
5,0.4318181818181818,0.23170731707317074,0.30158730158730157,82.0
6,0.4772727272727273,0.1640625,0.2441860465116279,128.0
7,0.25,0.189873417721519,0.2158273381294964,79.0
8,0.5510204081632653,0.3333333333333333,0.4153846153846154,81.0
9,0.36,0.16071428571428573,0.2222222222222222,56.0
A,0.0,0.0,0.0,4.0
B,0.6744186046511628,0.75,0.710204081632653,116.0
C,0.6896551724137931,0.4878048780487805,0.5714285714285714,41.0
D,0.6031746031746031,0.5671641791044776,0.5846153846153846,67.0
E,0.41904761904761906,0.44,0.4292682926829268,100.0
F,0.5964912280701754,0.5573770491803278,0.576271186440678,61.0
G,0.4,0.32558139534883723,0.358974358974359,43.0
H,0.65,0.4482758620689655,0.5306122448979592,29.0
I,0.5657894736842105,0.581081081081081,0.5733333333333334,74.0
J,0.4857142857142857,0.3617021276595745,0.4146341463414634,47.0
K,0.5684210526315789,0.7105263157894737,0.631578947368421,76.0
L,0.4,0.18181818181818182,0.25,22.0
M,0.6851851851851852,0.6379310344827587,0.6607142857142857,58.0
N,0.4930555555555556,0.6635514018691588,0.5657370517928287,107.0
O,0.4868421052631579,0.7375415282392026,0.5865257595772787,301.0
P,0.7777777777777778,0.35,0.4827586206896552,20.0
Q,0.26666666666666666,0.13793103448275862,0.18181818181818182,29.0
R,0.5454545454545454,0.5,0.5217391304347826,72.0
S,0.6666666666666666,0.5714285714285714,0.6153846153846154,14.0
T,0.5,0.07142857142857142,0.125,14.0
U,1.0,0.5,0.6666666666666666,4.0
V,0.45,0.1836734693877551,0.2608695652173913,98.0
W,0.0,0.0,0.0,1.0
X,0.0,0.0,0.0,2.0
Y,0.0,0.0,0.0,7.0
Z,0.5792811839323467,0.7988338192419825,0.6715686274509803,343.0
