y_category,precision,recall,f1_score,support
0,0.6328125,0.7105263157894737,0.6694214876033058,228.0
1,0.574468085106383,0.47368421052631576,0.5192307692307693,57.0
2,0.25,0.16049382716049382,0.19548872180451127,81.0
3,0.25539568345323743,0.6016949152542372,0.35858585858585856,118.0
4,0.4067796610169492,0.3,0.34532374100719426,80.0
5,0.509090909090909,0.34146341463414637,0.40875912408759124,82.0
6,0.3717948717948718,0.2265625,0.2815533980582524,128.0
7,0.2786885245901639,0.21518987341772153,0.24285714285714285,79.0
8,0.559322033898305,0.4074074074074074,0.4714285714285714,81.0
9,0.40625,0.23214285714285715,0.29545454545454547,56.0
A,0.25,0.25,0.25,4.0
B,0.7457627118644068,0.7586206896551724,0.7521367521367521,116.0
C,0.6785714285714286,0.4634146341463415,0.5507246376811594,41.0
D,0.5714285714285714,0.47761194029850745,0.5203252032520326,67.0
E,0.41414141414141414,0.41,0.4120603015075377,100.0
F,0.6071428571428571,0.5573770491803278,0.5811965811965812,61.0
G,0.3469387755102041,0.3953488372093023,0.3695652173913043,43.0
H,0.5483870967741935,0.5862068965517241,0.5666666666666667,29.0
I,0.569620253164557,0.6081081081081081,0.5882352941176471,74.0
J,0.4888888888888889,0.46808510638297873,0.4782608695652174,47.0
K,0.5194805194805194,0.5263157894736842,0.5228758169934641,76.0
L,0.3125,0.22727272727272727,0.2631578947368421,22.0
M,0.6551724137931034,0.6551724137931034,0.6551724137931034,58.0
N,0.5426356589147286,0.6542056074766355,0.5932203389830508,107.0
O,0.5505952380952381,0.6146179401993356,0.5808477237048666,301.0
P,0.5714285714285714,0.8,0.6666666666666666,20.0
Q,0.3333333333333333,0.3103448275862069,0.32142857142857145,29.0
R,0.4861111111111111,0.4861111111111111,0.4861111111111111,72.0
S,0.6,0.6428571428571429,0.6206896551724138,14.0
T,0.47058823529411764,0.5714285714285714,0.5161290322580645,14.0
U,1.0,0.75,0.8571428571428571,4.0
V,0.3770491803278688,0.23469387755102042,0.2893081761006289,98.0
W,0.0,0.0,0.0,1.0
X,1.0,0.5,0.6666666666666666,2.0
Y,0.5,0.42857142857142855,0.46153846153846156,7.0
Z,0.7057142857142857,0.7201166180758017,0.7128427128427128,343.0
