y_category,precision,recall,f1_score,support
0,0.642512077294686,0.5833333333333334,0.6114942528735632,228.0
1,0.4909090909090909,0.47368421052631576,0.48214285714285715,57.0
2,0.2839506172839506,0.2839506172839506,0.2839506172839506,81.0
3,0.4649122807017544,0.4491525423728814,0.45689655172413796,118.0
4,0.4883720930232558,0.525,0.5060240963855421,80.0
5,0.4222222222222222,0.4634146341463415,0.4418604651162791,82.0
6,0.3064516129032258,0.296875,0.30158730158730157,128.0
7,0.2375,0.24050632911392406,0.2389937106918239,79.0
8,0.32989690721649484,0.3950617283950617,0.3595505617977528,81.0
9,0.4,0.32142857142857145,0.3564356435643564,56.0
A,1.0,0.5,0.6666666666666666,4.0
B,0.5873015873015873,0.6379310344827587,0.6115702479338843,116.0
C,0.5333333333333333,0.3902439024390244,0.4507042253521127,41.0
D,0.509090909090909,0.417910447761194,0.45901639344262296,67.0
E,0.37719298245614036,0.43,0.40186915887850466,100.0
F,0.5344827586206896,0.5081967213114754,0.5210084033613446,61.0
G,0.3888888888888889,0.32558139534883723,0.35443037974683544,43.0
H,0.5405405405405406,0.6896551724137931,0.6060606060606061,29.0
I,0.5294117647058824,0.4864864864864865,0.5070422535211268,74.0
J,0.45454545454545453,0.425531914893617,0.43956043956043955,47.0
K,0.5733333333333334,0.5657894736842105,0.5695364238410596,76.0
L,0.4117647058823529,0.3181818181818182,0.358974358974359,22.0
M,0.6727272727272727,0.6379310344827587,0.6548672566371682,58.0
N,0.5166666666666667,0.5794392523364486,0.5462555066079295,107.0
O,0.4868421052631579,0.49169435215946844,0.48925619834710743,301.0
P,0.47058823529411764,0.4,0.43243243243243246,20.0
Q,0.5,0.3793103448275862,0.43137254901960786,29.0
R,0.463768115942029,0.4444444444444444,0.45390070921985815,72.0
S,0.7,0.5,0.5833333333333334,14.0
T,0.47058823529411764,0.5714285714285714,0.5161290322580645,14.0
U,0.6,0.75,0.6666666666666666,4.0
V,0.3763440860215054,0.35714285714285715,0.36649214659685864,98.0
W,0.0,0.0,0.0,1.0
X,0.5,0.5,0.5,2.0
Y,0.4,0.2857142857142857,0.3333333333333333,7.0
Z,0.6702127659574468,0.7346938775510204,0.7009735744089013,343.0
