y_category,precision,recall,f1_score,support
0,0.6507936507936508,0.7192982456140351,0.6833333333333333,228.0
1,0.6470588235294118,0.5789473684210527,0.6111111111111112,57.0
2,0.27906976744186046,0.14814814814814814,0.1935483870967742,81.0
3,0.5531914893617021,0.4406779661016949,0.49056603773584906,118.0
4,0.4067796610169492,0.3,0.34532374100719426,80.0
5,0.4050632911392405,0.3902439024390244,0.39751552795031053,82.0
6,0.38461538461538464,0.234375,0.2912621359223301,128.0
7,0.25,0.10126582278481013,0.14414414414414414,79.0
8,0.625,0.43209876543209874,0.5109489051094891,81.0
9,0.35,0.25,0.2916666666666667,56.0
A,0.0,0.0,0.0,4.0
B,0.706766917293233,0.8103448275862069,0.7550200803212851,116.0
C,0.84375,0.6585365853658537,0.7397260273972602,41.0
D,0.5194805194805194,0.5970149253731343,0.5555555555555556,67.0
E,0.47058823529411764,0.56,0.5114155251141552,100.0
F,0.609375,0.639344262295082,0.624,61.0
G,0.5,0.627906976744186,0.5567010309278351,43.0
H,0.55,0.7586206896551724,0.6376811594202898,29.0
I,0.5930232558139535,0.6891891891891891,0.6375,74.0
J,0.417910447761194,0.5957446808510638,0.49122807017543857,47.0
K,0.5384615384615384,0.4605263157894737,0.49645390070921985,76.0
L,0.4,0.45454545454545453,0.425531914893617,22.0
M,0.68,0.8793103448275862,0.7669172932330827,58.0
N,0.5277777777777778,0.7102803738317757,0.6055776892430279,107.0
O,0.5311653116531165,0.6511627906976745,0.5850746268656717,301.0
P,0.7894736842105263,0.75,0.7692307692307693,20.0
Q,0.32142857142857145,0.3103448275862069,0.3157894736842105,29.0
R,0.6043956043956044,0.7638888888888888,0.6748466257668712,72.0
S,0.6111111111111112,0.7857142857142857,0.6875,14.0
T,0.6153846153846154,0.5714285714285714,0.5925925925925926,14.0
U,1.0,0.75,0.8571428571428571,4.0
V,0.44,0.336734693877551,0.3815028901734104,98.0
W,0.0,0.0,0.0,1.0
X,0.0,0.0,0.0,2.0
Y,0.375,0.42857142857142855,0.4,7.0
Z,0.7606837606837606,0.7784256559766763,0.7694524495677233,343.0
