y_category,precision,recall,f1_score,support
0,0.6510638297872341,0.6710526315789473,0.6609071274298056,228.0
1,0.5932203389830508,0.6140350877192983,0.603448275862069,57.0
2,0.2909090909090909,0.19753086419753085,0.23529411764705882,81.0
3,0.5268817204301075,0.4152542372881356,0.46445497630331756,118.0
4,0.44642857142857145,0.3125,0.36764705882352944,80.0
5,0.35384615384615387,0.2804878048780488,0.3129251700680272,82.0
6,0.4,0.234375,0.2955665024630542,128.0
7,0.358974358974359,0.17721518987341772,0.23728813559322035,79.0
8,0.7045454545454546,0.38271604938271603,0.496,81.0
9,0.38235294117647056,0.23214285714285715,0.28888888888888886,56.0
A,0.0,0.0,0.0,4.0
B,0.6934306569343066,0.8189655172413793,0.7509881422924901,116.0
C,0.8125,0.6341463414634146,0.7123287671232876,41.0
D,0.5405405405405406,0.5970149253731343,0.5673758865248227,67.0
E,0.48148148148148145,0.52,0.5,100.0
F,0.6086956521739131,0.6885245901639344,0.6461538461538462,61.0
G,0.47368421052631576,0.627906976744186,0.54,43.0
H,0.5609756097560976,0.7931034482758621,0.6571428571428571,29.0
I,0.6097560975609756,0.6756756756756757,0.6410256410256411,74.0
J,0.45901639344262296,0.5957446808510638,0.5185185185185185,47.0
K,0.5324675324675324,0.5394736842105263,0.5359477124183006,76.0
L,0.4074074074074074,0.5,0.4489795918367347,22.0
M,0.6621621621621622,0.8448275862068966,0.7424242424242424,58.0
N,0.5103448275862069,0.6915887850467289,0.5873015873015873,107.0
O,0.5281501340482574,0.654485049833887,0.5845697329376854,301.0
P,0.7619047619047619,0.8,0.7804878048780488,20.0
Q,0.3448275862068966,0.3448275862068966,0.3448275862068966,29.0
R,0.6043956043956044,0.7638888888888888,0.6748466257668712,72.0
S,0.5789473684210527,0.7857142857142857,0.6666666666666666,14.0
T,0.6111111111111112,0.7857142857142857,0.6875,14.0
U,1.0,0.75,0.8571428571428571,4.0
V,0.375,0.2755102040816326,0.3176470588235294,98.0
W,0.0,0.0,0.0,1.0
X,0.0,0.0,0.0,2.0
Y,0.375,0.42857142857142855,0.4,7.0
Z,0.7275204359673024,0.7784256559766763,0.752112676056338,343.0
