y_category,precision,recall,f1_score,support
0,0.6666666666666666,0.6754385964912281,0.6710239651416122,228.0
1,0.52,0.45614035087719296,0.48598130841121495,57.0
2,0.3409090909090909,0.37037037037037035,0.35502958579881655,81.0
3,0.5342465753424658,0.3305084745762712,0.4083769633507853,118.0
4,0.4666666666666667,0.35,0.4,80.0
5,0.32857142857142857,0.2804878048780488,0.3026315789473684,82.0
6,0.3063063063063063,0.265625,0.28451882845188287,128.0
7,0.225,0.11392405063291139,0.15126050420168066,79.0
8,0.6129032258064516,0.4691358024691358,0.5314685314685315,81.0
9,0.38823529411764707,0.5892857142857143,0.46808510638297873,56.0
A,0.2222222222222222,0.5,0.3076923076923077,4.0
B,0.6797385620915033,0.896551724137931,0.7732342007434945,116.0
C,0.673469387755102,0.8048780487804879,0.7333333333333333,41.0
D,0.5058823529411764,0.6417910447761194,0.5657894736842105,67.0
E,0.43636363636363634,0.48,0.45714285714285713,100.0
F,0.5555555555555556,0.7377049180327869,0.6338028169014085,61.0
G,0.4084507042253521,0.6744186046511628,0.5087719298245614,43.0
H,0.525,0.7241379310344828,0.6086956521739131,29.0
I,0.6063829787234043,0.7702702702702703,0.6785714285714286,74.0
J,0.5434782608695652,0.5319148936170213,0.5376344086021505,47.0
K,0.5544554455445545,0.7368421052631579,0.632768361581921,76.0
L,0.37037037037037035,0.45454545454545453,0.40816326530612246,22.0
M,0.6575342465753424,0.8275862068965517,0.732824427480916,58.0
N,0.5133333333333333,0.719626168224299,0.5992217898832685,107.0
O,0.6477987421383647,0.34219269102990035,0.44782608695652176,301.0
P,0.8181818181818182,0.9,0.8571428571428571,20.0
Q,0.39473684210526316,0.5172413793103449,0.44776119402985076,29.0
R,0.581081081081081,0.5972222222222222,0.589041095890411,72.0
S,0.75,0.8571428571428571,0.8,14.0
T,0.5238095238095238,0.7857142857142857,0.6285714285714286,14.0
U,0.4,1.0,0.5714285714285714,4.0
V,0.3786407766990291,0.7959183673469388,0.5131578947368421,98.0
W,0.0,0.0,0.0,1.0
X,0.5,0.5,0.5,2.0
Y,0.2857142857142857,0.5714285714285714,0.38095238095238093,7.0
Z,0.8925233644859814,0.5568513119533528,0.6858168761220825,343.0
