y_category,precision,recall,f1_score,support
0,0.6398305084745762,0.6622807017543859,0.6508620689655172,228.0
1,0.6,0.5789473684210527,0.5892857142857143,57.0
2,0.23684210526315788,0.1111111111111111,0.15126050420168066,81.0
3,0.4891304347826087,0.3813559322033898,0.42857142857142855,118.0
4,0.44285714285714284,0.3875,0.41333333333333333,80.0
5,0.48,0.2926829268292683,0.36363636363636365,82.0
6,0.33766233766233766,0.203125,0.25365853658536586,128.0
7,0.24242424242424243,0.10126582278481013,0.14285714285714285,79.0
8,0.547945205479452,0.49382716049382713,0.5194805194805194,81.0
9,0.39622641509433965,0.375,0.3853211009174312,56.0
A,0.0,0.0,0.0,4.0
B,0.7264150943396226,0.6637931034482759,0.6936936936936937,116.0
C,0.8387096774193549,0.6341463414634146,0.7222222222222222,41.0
D,0.525,0.6268656716417911,0.5714285714285714,67.0
E,0.45185185185185184,0.61,0.5191489361702127,100.0
F,0.5806451612903226,0.5901639344262295,0.5853658536585366,61.0
G,0.43548387096774194,0.627906976744186,0.5142857142857142,43.0
H,0.5526315789473685,0.7241379310344828,0.6268656716417911,29.0
I,0.5903614457831325,0.6621621621621622,0.6242038216560509,74.0
J,0.4727272727272727,0.5531914893617021,0.5098039215686274,47.0
K,0.5698924731182796,0.6973684210526315,0.6272189349112426,76.0
L,0.375,0.4090909090909091,0.391304347826087,22.0
M,0.6764705882352942,0.7931034482758621,0.7301587301587301,58.0
N,0.5170068027210885,0.7102803738317757,0.5984251968503937,107.0
O,0.5377049180327869,0.5448504983388704,0.5412541254125413,301.0
P,0.8333333333333334,0.75,0.7894736842105263,20.0
Q,0.3333333333333333,0.3448275862068966,0.3389830508474576,29.0
R,0.5473684210526316,0.7222222222222222,0.6227544910179641,72.0
S,0.75,0.8571428571428571,0.8,14.0
T,0.47368421052631576,0.6428571428571429,0.5454545454545454,14.0
U,0.75,0.75,0.75,4.0
V,0.42735042735042733,0.5102040816326531,0.46511627906976744,98.0
W,0.0,0.0,0.0,1.0
X,0.0,0.0,0.0,2.0
Y,0.4166666666666667,0.7142857142857143,0.5263157894736842,7.0
Z,0.7300275482093664,0.7725947521865889,0.7507082152974505,343.0
