y_category,precision,recall,f1_score,support
0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0
6,0.13636363636363635,1.0,0.24,3.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
A,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,1.0
D,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0
F,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,2.0
I,0.0,0.0,0.0,2.0
J,0.0,0.0,0.0,1.0
K,0.0,0.0,0.0,1.0
L,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,2.0
O,0.0,0.0,0.0,6.0
P,0.0,0.0,0.0,1.0
Q,0.0,0.0,0.0,0.0
R,0.0,0.0,0.0,0.0
S,0.0,0.0,0.0,0.0
T,0.0,0.0,0.0,0.0
U,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,3.0
W,0.0,0.0,0.0,0.0
X,0.0,0.0,0.0,0.0
Y,0.0,0.0,0.0,1.0
Z,0.0,0.0,0.0,3.0
