y_category,precision,recall,f1_score,support
0,0.6624472573839663,0.6885964912280702,0.6752688172043011,228.0
1,0.5737704918032787,0.6140350877192983,0.5932203389830508,57.0
2,0.24444444444444444,0.13580246913580246,0.1746031746031746,81.0
3,0.5394736842105263,0.3474576271186441,0.422680412371134,118.0
4,0.46,0.2875,0.35384615384615387,80.0
5,0.3939393939393939,0.15853658536585366,0.22608695652173913,82.0
6,0.37681159420289856,0.203125,0.2639593908629442,128.0
7,0.38461538461538464,0.12658227848101267,0.19047619047619047,79.0
8,0.5970149253731343,0.49382716049382713,0.5405405405405406,81.0
9,0.44680851063829785,0.375,0.4077669902912621,56.0
A,0.0,0.0,0.0,4.0
B,0.7007299270072993,0.8275862068965517,0.758893280632411,116.0
C,0.8461538461538461,0.5365853658536586,0.6567164179104478,41.0
D,0.5064935064935064,0.582089552238806,0.5416666666666666,67.0
E,0.45390070921985815,0.64,0.5311203319502075,100.0
F,0.5232558139534884,0.7377049180327869,0.6122448979591837,61.0
G,0.44642857142857145,0.5813953488372093,0.5050505050505051,43.0
H,0.5365853658536586,0.7586206896551724,0.6285714285714286,29.0
I,0.6041666666666666,0.7837837837837838,0.6823529411764706,74.0
J,0.4375,0.5957446808510638,0.5045045045045045,47.0
K,0.5363636363636364,0.7763157894736842,0.6344086021505376,76.0
L,0.4074074074074074,0.5,0.4489795918367347,22.0
M,0.6764705882352942,0.7931034482758621,0.7301587301587301,58.0
N,0.512987012987013,0.7383177570093458,0.6053639846743295,107.0
O,0.5443786982248521,0.6112956810631229,0.5758998435054773,301.0
P,0.8333333333333334,0.75,0.7894736842105263,20.0
Q,0.34375,0.3793103448275862,0.36065573770491804,29.0
R,0.6144578313253012,0.7083333333333334,0.6580645161290323,72.0
S,0.6470588235294118,0.7857142857142857,0.7096774193548387,14.0
T,0.6,0.21428571428571427,0.3157894736842105,14.0
U,1.0,0.75,0.8571428571428571,4.0
V,0.41379310344827586,0.3673469387755102,0.3891891891891892,98.0
W,0.0,0.0,0.0,1.0
X,0.0,0.0,0.0,2.0
Y,0.5,0.14285714285714285,0.2222222222222222,7.0
Z,0.7534626038781164,0.793002915451895,0.7727272727272727,343.0
