y_category,precision,recall,f1_score,support
0,0.6788990825688074,0.6491228070175439,0.6636771300448431,228.0
1,0.5813953488372093,0.43859649122807015,0.5,57.0
2,0.33,0.4074074074074074,0.36464088397790057,81.0
3,0.5057471264367817,0.3728813559322034,0.4292682926829268,118.0
4,0.4576271186440678,0.3375,0.38848920863309355,80.0
5,0.34328358208955223,0.2804878048780488,0.3087248322147651,82.0
6,0.36486486486486486,0.2109375,0.26732673267326734,128.0
7,0.22580645161290322,0.17721518987341772,0.19858156028368795,79.0
8,0.5625,0.4444444444444444,0.496551724137931,81.0
9,0.3902439024390244,0.5714285714285714,0.463768115942029,56.0
A,0.16666666666666666,0.25,0.2,4.0
B,0.7226277372262774,0.853448275862069,0.782608695652174,116.0
C,0.7272727272727273,0.7804878048780488,0.7529411764705882,41.0
D,0.47126436781609193,0.6119402985074627,0.5324675324675324,67.0
E,0.4140625,0.53,0.4649122807017544,100.0
F,0.5324675324675324,0.6721311475409836,0.5942028985507246,61.0
G,0.41025641025641024,0.7441860465116279,0.5289256198347108,43.0
H,0.5384615384615384,0.7241379310344828,0.6176470588235294,29.0
I,0.5957446808510638,0.7567567567567568,0.6666666666666666,74.0
J,0.5384615384615384,0.5957446808510638,0.5656565656565656,47.0
K,0.5221238938053098,0.7763157894736842,0.6243386243386243,76.0
L,0.43478260869565216,0.45454545454545453,0.4444444444444444,22.0
M,0.6911764705882353,0.8103448275862069,0.746031746031746,58.0
N,0.49375,0.7383177570093458,0.5917602996254682,107.0
O,0.6374269005847953,0.36212624584717606,0.461864406779661,301.0
P,0.8181818181818182,0.9,0.8571428571428571,20.0
Q,0.40540540540540543,0.5172413793103449,0.45454545454545453,29.0
R,0.5230769230769231,0.4722222222222222,0.49635036496350365,72.0
S,0.6666666666666666,0.8571428571428571,0.75,14.0
T,0.55,0.7857142857142857,0.6470588235294118,14.0
U,0.5,1.0,0.6666666666666666,4.0
V,0.3826530612244898,0.7653061224489796,0.5102040816326531,98.0
W,0.0,0.0,0.0,1.0
X,1.0,0.5,0.6666666666666666,2.0
Y,0.3333333333333333,0.5714285714285714,0.42105263157894735,7.0
Z,0.8705357142857143,0.5685131195335277,0.6878306878306878,343.0
