y_category,precision,recall,f1_score,support
0,0.6454183266932271,0.7105263157894737,0.6764091858037579,228.0
1,0.6545454545454545,0.631578947368421,0.6428571428571429,57.0
2,0.2826086956521739,0.16049382716049382,0.2047244094488189,81.0
3,0.5392156862745098,0.4661016949152542,0.5,118.0
4,0.46153846153846156,0.3,0.36363636363636365,80.0
5,0.5,0.2926829268292683,0.36923076923076925,82.0
6,0.38571428571428573,0.2109375,0.2727272727272727,128.0
7,0.25806451612903225,0.10126582278481013,0.14545454545454545,79.0
8,0.6666666666666666,0.41975308641975306,0.5151515151515151,81.0
9,0.4473684210526316,0.30357142857142855,0.3617021276595745,56.0
A,0.0,0.0,0.0,4.0
B,0.7218045112781954,0.8275862068965517,0.7710843373493976,116.0
C,0.84375,0.6585365853658537,0.7397260273972602,41.0
D,0.5555555555555556,0.5970149253731343,0.5755395683453237,67.0
E,0.4838709677419355,0.6,0.5357142857142857,100.0
F,0.5945945945945946,0.7213114754098361,0.6518518518518519,61.0
G,0.49019607843137253,0.5813953488372093,0.5319148936170213,43.0
H,0.5581395348837209,0.8275862068965517,0.6666666666666666,29.0
I,0.6086956521739131,0.7567567567567568,0.6746987951807228,74.0
J,0.4444444444444444,0.5957446808510638,0.509090909090909,47.0
K,0.5773195876288659,0.7368421052631579,0.6473988439306358,76.0
L,0.4,0.45454545454545453,0.425531914893617,22.0
M,0.6901408450704225,0.8448275862068966,0.7596899224806202,58.0
N,0.5263157894736842,0.7476635514018691,0.6177606177606177,107.0
O,0.5518207282913166,0.654485049833887,0.5987841945288754,301.0
P,0.7894736842105263,0.75,0.7692307692307693,20.0
Q,0.3103448275862069,0.3103448275862069,0.3103448275862069,29.0
R,0.6162790697674418,0.7361111111111112,0.6708860759493671,72.0
S,0.6470588235294118,0.7857142857142857,0.7096774193548387,14.0
T,0.5454545454545454,0.42857142857142855,0.48,14.0
U,1.0,0.75,0.8571428571428571,4.0
V,0.4696969696969697,0.3163265306122449,0.3780487804878049,98.0
W,0.0,0.0,0.0,1.0
X,0.0,0.0,0.0,2.0
Y,0.4,0.2857142857142857,0.3333333333333333,7.0
Z,0.7406417112299465,0.8075801749271136,0.7726638772663877,343.0
