y_category,precision,recall,f1_score,support
0,0.6363636363636364,0.706140350877193,0.6694386694386695,228.0
1,0.6415094339622641,0.5964912280701754,0.6181818181818182,57.0
2,0.29545454545454547,0.16049382716049382,0.208,81.0
3,0.5294117647058824,0.4576271186440678,0.4909090909090909,118.0
4,0.46153846153846156,0.3,0.36363636363636365,80.0
5,0.5,0.2804878048780488,0.359375,82.0
6,0.39436619718309857,0.21875,0.2814070351758794,128.0
7,0.30303030303030304,0.12658227848101267,0.17857142857142858,79.0
8,0.66,0.4074074074074074,0.5038167938931297,81.0
9,0.4444444444444444,0.2857142857142857,0.34782608695652173,56.0
A,0.0,0.0,0.0,4.0
B,0.7185185185185186,0.8362068965517241,0.7729083665338645,116.0
C,0.8181818181818182,0.6585365853658537,0.7297297297297297,41.0
D,0.5492957746478874,0.582089552238806,0.5652173913043478,67.0
E,0.47619047619047616,0.6,0.5309734513274337,100.0
F,0.6027397260273972,0.7213114754098361,0.6567164179104478,61.0
G,0.4528301886792453,0.5581395348837209,0.5,43.0
H,0.5581395348837209,0.8275862068965517,0.6666666666666666,29.0
I,0.6021505376344086,0.7567567567567568,0.6706586826347305,74.0
J,0.45,0.574468085106383,0.5046728971962616,47.0
K,0.5625,0.7105263157894737,0.627906976744186,76.0
L,0.4,0.45454545454545453,0.425531914893617,22.0
M,0.6956521739130435,0.8275862068965517,0.7559055118110236,58.0
N,0.5238095238095238,0.719626168224299,0.6062992125984252,107.0
O,0.5420054200542005,0.6644518272425249,0.5970149253731343,301.0
P,0.7894736842105263,0.75,0.7692307692307693,20.0
Q,0.3103448275862069,0.3103448275862069,0.3103448275862069,29.0
R,0.611764705882353,0.7222222222222222,0.6624203821656051,72.0
S,0.6875,0.7857142857142857,0.7333333333333333,14.0
T,0.5555555555555556,0.35714285714285715,0.43478260869565216,14.0
U,1.0,0.75,0.8571428571428571,4.0
V,0.4626865671641791,0.3163265306122449,0.37575757575757573,98.0
W,0.0,0.0,0.0,1.0
X,0.0,0.0,0.0,2.0
Y,0.4,0.2857142857142857,0.3333333333333333,7.0
Z,0.7406417112299465,0.8075801749271136,0.7726638772663877,343.0
