dataset,Literal_required_clean,token_len
train,Hiperreactividad bronquial,6
train,broncoespástica,5
train,miocardiopatía dilatada,4
train,HTA irc 6,6
train,Crisis febriles atípicas,5
train,prótesis mama,4
train,hernia discal parto,5
train,shock septico,5
train,puerpera,4
train,podalica,5
train,Hipoacusia bilateral congénita,5
train,Hemicolectomia derecha,6
train,Ventosa,4
train,ECOGRAFIA TRANVAGINAL,9
train,RAO,3
train,Hemorragia post parto,5
train,síndrome mielodisplásico,5
train,mioma part,4
train,desgarro de 1er grado,7
train,Osteotomia tipo Weil derecha,8
train,trasplante renal,4
train,Nódulo vocales,4
train,Escherichia Coli,4
train,GS: 0 Rh negativo,7
train,adenoma hipofisario,5
train,RX abdomen,4
train,Indometacina rectal,5
train,itu 2t,6
train,Deterioro congitivo,6
train,Hernia inguinal derecha,5
train,CIN II parto,5
train,Sobrepeso parto,5
train,ginecomàstia,6
train,detorsión testicular derecho,7
train,deshidratado,4
train,Asma part,4
train,Hiperparatiroidismo secundario a déficit de vit D,10
train,cefalea migrañosa,5
train,tiroides multinodular,5
train,HTA IRC,4
train,papiledema,6
train,miomectomía histeroscópica,7
train,lma,4
train,SARS-CoV-2 negatius,9
train,celulitis eid,5
train,Tumoración suprarrenal derecha,6
train,insulino,3
train,bsgc pelvic,8
train,ERISIPELA EN EXTREMIDAD SUPERIOR DERECHA,12
train,Anexectomía bilateral lap,8
train,Fx de huesos propios de la nariz,9
train,Cefalea,3
train,Monocorial Biamniótico,9
train,cistectomía radical,5
train,bicorial/biamniótico,9
train,expansor mama izq,6
train,ondansetrón,4
train,Endometriosis part,5
train,fractura dent,5
train,Anemia pueperio,5
train,GEU,4
train,617.5,6
train,RMN abd,4
train,desgarro en vagina,5
train,Flutter auricular,5
train,febril,3
train,Legrado obstétrico,5
train,paracetamol,3
train,Anemia hipocromica microcitica,9
train,ondansetron,4
train,rpm rn,5
train,EPOC infeccion respiratoria,5
train,Neoplasia de próstata,5
train,Lumbociatica,6
train,sd confusional,4
train,hidrocele,4
train,Polineuropatía diabética 2,6
train,FIBROMIALGIA,6
train,fibrinógeno,3
train,barrera idiomàtica,6
train,Biòpsia pleural derecha,7
train,VRS,3
train,peritoneal,3
train,Quemadura 3 pie izquierdo,7
train,síndrome seco,4
train,maltrato historia,4
train,ca base de lengua,6
train,Historia tuberculosa,4
train,Hipertensión intracraneal benigna,5
train,Fecaloma,5
train,Adenoma paratiroides,5
train,E46,4
train,Patología artrodegenerativa,6
train,Sondatge vesical,6
train,lmmc,5
train,FACO + LIO OD,7
train,Obesidad Mórbida,6
train,anexectomia bialteral,7
train,o700,4
train,pci,4
train,Grupo sanguíneo: A Rh negativo,8
train,gamma anti d,5
train,mioclonias,4
train,36+1 semanas,6
train,S. Agalactiae,8
train,Invaginació intestinal,6
train,INFECCIÓN HERIDA QUIRÚRGICA,7
train,Problemas alimentacion,5
train,exeresis piel nariz,6
train,Desgarro de 1º grado,9
train,bypass coronarios,4
train,Desgarro 1,5
train,Dolor crónico,4
train,Ecografía escrot,5
train,linfadenectomia paraaortica,8
train,radiografías cervicales,4
train,corioamnionitis anteparto,9
train,LOBECTOMIA,6
train,Hernia inguinal izquierda incarcerada,9
train,PCR SARSCOV2 negativa,7
train,candidiasis vulvovaginal,5
train,extrasístoles,3
train,DTT,4
train,recién nacida,4
train,quistes sinusales renales,6
train,Trombosis,3
train,nebulitzat,5
train,Hipertensió arterial,5
train,Estrabismo,4
train,Al·lergia acaros,8
train,Gestación bicorial-biamniótica,11
train,Tendinitis supraespinoso hombro derecho,7
train,GEU tubarico derecha,8
train,LIQUEN,4
train,Fractura de acetábulo izquierdo,8
train,RE negativos,4
train,alteracion conductual,4
train,Asma part,4
train,útero bicorne parto,7
train,REDUCCIÓN MAMARIA BILATERAL,8
train,presíncope,5
train,RM cerebral amb contrast,7
train,cesárea anterior,4
train,FRACTURA PERTROCANTEREA FEMUR IZQUIERDO,13
train,WPW parto,6
train,Síndrome febril,4
train,histerectomia total,6
train,laparoscopia,3
train,Historia de Politrauma,6
train,SG:40+2,7
train,Ecografías obst,6
train,absceso glúteo,4
train,primigesta de 40,6
train,DM tipo 2,5
train,Prematuridad 31,6
train,hta icc,6
train,FIBROMIÀLGIA,8
train,liquen escleroso,5
train,Graves,3
train,BEBEDOR,5
train,Fiebre posparto,4
train,pielonefritis del injerto renal,6
train,hernia hiato parto,5
train,Artrosis cervical,4
train,dematitis atópica parto,6
train,alucinaciones visuales,4
train,Síndrome ansioso-depresivo parto,7
train,Alergia a tetraciclinas,5
train,via publica,4
train,ALERGIA A ALIMENTOS,6
train,biopsia estomac,5
train,Tumorectomía (mama izquierda,8
train,Hernia diafragmatica,5
train,hábito enólico importante,5
train,nefropatía dm,5
train,ex-fumador,5
train,regularización meniscal der,7
train,Historia de neoplasia de mama,7
train,ADENOCARCINOMA ENDOMETRIOIDE,10
train,hta irc 6 icc,9
train,Absceso axila derecha,5
train,depresión y ansiedad parto,6
train,nefrostomia bilateral,5
train,: 40+6,7
train,Bacterièmia,4
train,TAC ABDOMINOPELVICO,9
train,LINFADENECTOMÍA AXILAR izq,11
train,IMC 41,4
train,hipomagnesemia,3
train,HEPATOBLASTOMA,7
train,38 sem,4
train,nutrición enteral,4
train,Atelectasi pulmonar,5
train,Gestación ectópica (tubárica) izquierda,12
train,paresia facial izquierda,5
train,vasa previa,5
train,TRANSVERSA,5
train,Venofer,5
train,Anemia sang,5
train,intolerancia Lactosa parto,6
train,Hipotiroidismo qx,5
train,Soplo sistòlico,7
train,h Fractura,4
train,hipotiroidismo,3
train,Rx Abdomen,4
train,mastopatía fibroquística,7
train,Febricula,4
train,Hipercolesterolema,7
train,EPI,3
train,Hepatitis aguda,4
train,FA rápida,4
train,Obesidad part,4
train,esguince cervical,4
train,adherencia a epiplón,7
train,gastritis cronica parto,5
train,RGE,3
train,Dermatitis de contacto parto,6
train,DM2,4
train,Preeclamsia grave,6
train,36.2 semanas,6
train,colon irritable part,5
train,dolor abdomino-pélvico,6
train,DOLOR ABDOMINAL,4
train,Sedación,4
train,Hipergammaglobulinemia policlonal,8
train,Depresión anteparto,5
train,Historia de Linfoma,5
train,fr. supracondílea húmero,9
train,gafas nasales,4
train,Vive solo,4
train,CISTOGRAFIA,5
train,colitis ulcerosa parto,5
train,septoplastia,4
train,Alergia al níquel,5
train,Alergias a INZITAN,8
train,RINITIS aguda,6
train,Historia de TROMBOSIS,6
train,Dilipemia,5
train,Histerectomía total,4
train,SARS-COV2 negativo,7
train,linfadenectomía axila,4
train,institucionalizado,4
train,itu 3t,6
train,Nódulos tiroideos,5
train,sarcopenia,3
train,Esquizofrenia paranoide,4
train,nodulo mama,5
train,infección urinaria,4
train,sonda rectal,4
train,RAO posparto,4
train,CNAF,5
train,Punció lumbar,5
train,oliguria,3
train,Cefalea dural posparto,5
train,Grupo A positivo,5
train,distocia de descenso,7
train,Histerectomia lap,7
train,Ca próstata,4
train,NEOPLASIA RENAL IZQUIERDA,7
train,TRASTORNO DE LA MARCHA,8
train,Biòpsia endometrio,6
train,"Grupo sanguíneo materno: 0, Rh: Positivo",11
train,Extrasístoles ventriculares,7
train,brihh,4
train,podálica 2,5
train,ooforectomia izquierda,7
train,hernia hiato,4
train,Paladar fes,5
train,peritonitis purulenta,4
train,B34.9,6
train,hipermenorrees,6
train,dga1,5
train,Síndrome ansioso-depresivo,6
train,rotura prematura de membranas,6
train,Alfa-talasemia,6
train,CARCINOMA ENDOMETRIO,8
train,: 0 negativo.,7
train,diabetes mellitus,4
train,BC/TA,5
train,Grupo sanguineo: AB Rh: positivo,10
train,HIPERURICÈMIA,8
train,Anticoagulacion,4
train,dmnid,5
train,apendicectomia,5
train,invaginación ileo-colica,9
train,GSRH: O+,7
train,bronquiolitis vrs rn,7
train,antibiotico,3
train,Vértigo,4
train,ureterohidronefrosis,6
train,eco-doppler renal,6
train,circuncision,5
train,Hepatocarcinoma,4
train,MCP,3
train,RE ++,4
train,Quiste renal derecho,5
train,secuela fractura femur,6
train,cistocele,4
train,colon irritable parto,5
train,RE:POSITIVOS,7
train,hipotirodismo qx parto,8
train,Serumterapia,5
train,o76,4
train,Grupo A,4
train,Alergia al esparadrapo,7
train,Vértigo paroxístico,6
train,Ecocardiograma nen,4
train,Disartria,4
train,VHB part,4
train,Paralisis facial,5
train,Hidronefrosis obstructiva,5
train,ANEXECTOMÍA BILATERAL VIA LAPAROSCÓPICA,15
train,ITU por E.coli,7
train,entropion,4
train,Erupción cutánea,5
train,hipercolesterolemia part,4
train,Diabetis insípida,7
train,Vulvectomía parcial,6
train,Fractura nasal,4
train,TC abdominopélvico contraste,6
train,taponamiento vaginal,4
train,itu e.coli,7
train,ALERGIA IBUPROFENO,4
train,ecografia renal,4
train,39+3 semanas,6
train,: 40+2,7
train,Historia neo colon,5
train,ex alcohol,4
train,Extreñimiento cronico,6
train,quistes foliculares Ovarios derecho,8
train,nutrición enteral sng,6
train,sme ansioso,5
train,Colecistectomia,4
train,shock septico 2,6
train,GS 0+,5
train,HIPERTENSIÓ INSUFICIÈNCIA RENAL CRÒNICA,16
train,hipotiroidismo 3t,5
train,Eco TV,4
train,quiste anexial izquierdo,6
train,desgarro periuretral,5
train,f70,4
train,coxartrosis derecha,5
train,ambliopía,3
train,sigmoidectomia,5
train,concentrados de hematies,5
train,hemorroides internas,4
train,apendicitis aguda,4
train,sobrepeso part,4
train,trasplantado renal,4
train,cefalea crónica,4
train,fumadora part,4
train,papiloma intraductal,6
train,HTA madre rn,6
train,Broncoaspiración,4
train,Endometriosis part,5
train,Nissen laparoscopica,7
train,deterioro de la función renal,7
train,Colitis infecciosa,4
train,triple By-Pass,7
train,color: teñidO,7
train,hiperparatiroidismo primario,4
train,Papiloma intraductal,6
train,PP,3
train,preeclampsia leve part,5
train,Histerectomia,5
train,Estreñimiento part,4
train,Lactancia Artificial,4
train,misoprostol rectales,7
train,Hiponatremia rn,5
train,ANGINA DE ESFUERZO,9
train,Metrorragia 3er trimestre,7
train,radioterápia,6
train,Síndrome intestino irritable,5
