y_category,label_id,train_count,class_weight
0,0,913,0.33345503225021295
1,1,230,1.3236714975845412
2,2,323,0.9425524595803234
3,3,474,0.6422878574777309
4,4,319,0.9543712991988854
5,5,326,0.9338786639400136
6,6,509,0.5981226806374154
7,7,316,0.9634317862165963
8,8,325,0.9367521367521368
9,9,222,1.3713713713713713
A,10,18,16.91358024691358
B,11,463,0.6575473962083034
C,12,164,1.8563685636856369
D,13,269,1.1317637339942173
E,14,400,0.7611111111111111
F,15,241,1.2632549562010142
G,16,171,1.7803768680961662
H,17,117,2.6020892687559356
I,18,296,1.0285285285285286
J,19,187,1.6280451574569221
K,20,305,0.9981785063752276
L,21,88,3.45959595959596
M,22,230,1.3236714975845412
N,23,429,0.7096607096607097
O,24,1204,0.2528608342561831
P,25,81,3.758573388203018
Q,26,116,2.624521072796935
R,27,285,1.0682261208576997
S,28,57,5.341130604288499
T,29,56,5.436507936507937
U,30,18,16.91358024691358
V,31,393,0.774667797568561
W,32,6,50.74074074074074
X,33,8,38.05555555555556
Y,34,29,10.49808429118774
Z,35,1372,0.22189828312277293
