y_category,label_id,train_count,class_weight
0,0,2,0.2222222222222222
1,1,1,0.4444444444444444
2,2,1,0.4444444444444444
3,3,0,0.0
4,4,0,0.0
5,5,0,0.0
6,6,3,0.14814814814814814
7,7,0,0.0
8,8,1,0.4444444444444444
9,9,0,0.0
A,10,0,0.0
B,11,0,0.0
C,12,0,0.0
D,13,0,0.0
E,14,1,0.4444444444444444
F,15,1,0.4444444444444444
G,16,0,0.0
H,17,0,0.0
I,18,0,0.0
J,19,0,0.0
K,20,0,0.0
L,21,0,0.0
M,22,0,0.0
N,23,0,0.0
O,24,1,0.4444444444444444
P,25,2,0.2222222222222222
Q,26,0,0.0
R,27,0,0.0
S,28,0,0.0
T,29,0,0.0
U,30,0,0.0
V,31,0,0.0
W,32,0,0.0
X,33,0,0.0
Y,34,0,0.0
Z,35,3,0.14814814814814814
