Literal,row_count,unique_codes,unique_y_categories,codes,y_categories,is_duplicate_literal,same_literal_multiple_codes,same_literal_multiple_y_categories
obesidad parto,14,14,3,E669 | O99344 | O99892 | Z370 | Z3A36 | Z3A40 | Z6711 | Z6830 | Z6831 | Z6832 | Z6834 | Z6835 | Z6836 | Z6838,E | O | Z,True,True,True
Fumadora part,13,13,8,64901 | E669 | F1410 | J45909 | K220 | K226 | N200 | O26833 | O99214 | O99324 | O99344 | O9962 | Z6835,6 | E | F | J | K | N | O | Z,True,True,True
hipotiroidismo part,13,13,7,2449 | 64811 | E063 | E669 | F329 | G35 | G43909 | G9741 | O746 | O99284 | O99354 | O9962 | Z6835,2 | 6 | E | F | G | O | Z,True,True,True
Asma parto,12,12,8,64891 | E6601 | F1011 | I340 | J45909 | J8410 | J9811 | O99314 | Q251 | Q767 | Z370 | Z6833,6 | E | F | I | J | O | Q | Z,True,True,True
Hipotiroidismo parto,12,12,5,2449 | 64811 | E038 | E039 | E041 | E282 | E669 | O9852 | O99214 | O99284 | O99892 | Z6841,2 | 6 | E | O | Z,True,True,True
Hipotiroidismo part,11,11,7,2449 | 64811 | D352 | E282 | E701 | F1010 | F1411 | O99284 | O99285 | O99314 | Z370,2 | 6 | D | E | F | O | Z,True,True,True
obesidad part,11,11,5,27800 | 64911 | E039 | E669 | O99214 | O99284 | Z370 | Z6830 | Z6833 | Z6836 | Z6841,2 | 6 | E | O | Z,True,True,True
hipotiroidismo parto,10,10,6,2449 | 64811 | D6861 | E038 | K5190 | O9832 | O9912 | O99284 | O99354 | O9962,2 | 6 | D | E | K | O,True,True,True
Obesidad part,9,9,6,27800 | 64911 | D696 | E669 | O9852 | O99214 | Z228 | Z370 | Z6832,2 | 6 | D | E | O | Z,True,True,True
asma parto,9,9,5,64891 | E669 | I498 | O99214 | O99344 | O9942 | O9952 | Z3A39 | Z975,6 | E | I | O | Z,True,True,True
