model_id,family,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,top_2_accuracy,top_3_accuracy,top_5_accuracy,log_loss,best_epoch,selected_candidate,selected_recipe
v09_ensemble,ensemble,available,0.5766423357664233,0.5110470717245506,0.5186356137360756,0.5062770090378377,0.5615438906339999,,,,,,v09_majority_vote,"majority vote over ['v04_roberta_cls', 'v05_roberta_mean', 'v08_roberta_mean_dedupe', 'v08_roberta_mean_weighted_sampler', 'v01_tfidf_char_logreg'] with average-probability tie-break"
v04_roberta_cls,RoBERTa,available,0.5693430656934306,0.49881523385132887,0.5045191941037868,0.49432945894700203,0.5543466521666386,0.8222627737226277,0.8784671532846715,0.9306569343065694,1.327770442648131,10.0,,
v08_safe_dedupe,safe data strategy,available,0.5686131386861314,0.503277864781135,0.49399601657663944,0.4816478629114776,0.5491498480063064,0.8091240875912409,0.8682481751824818,0.922992700729927,1.3443976761955512,7.0,,
v05_roberta_mean,RoBERTa,available,0.5645985401459854,0.49909838983819566,0.5114283143972703,0.49656689039778307,0.5495406105287156,0.8222627737226277,0.8806569343065693,0.9310218978102189,1.3667167240811882,10.0,,
v07_mean_tuning,advanced RoBERTa,available,0.5645985401459854,0.5048336634105604,0.5045087812105616,0.49415079332820633,0.5490539680917063,0.8186131386861314,0.8788321167883212,0.92992700729927,1.3705359415231122,13.0,,
v06_focal_gamma1,advanced RoBERTa,available,0.5572992700729927,0.49496634159759434,0.48593524008313377,0.480393561147362,0.5397758462870894,0.8145985401459854,0.8733576642335766,0.9328467153284672,1.3022348893610207,9.0,,
v06_focal_gamma2,advanced RoBERTa,available,0.5554744525547445,0.48679397410955694,0.5138414344723392,0.492845903046953,0.5423962078956412,0.8240875912408759,0.8843065693430657,0.9361313868613139,1.27535082695523,11.0,,
v06_class_weighted,advanced RoBERTa,available,0.5445255474452555,0.49483968736592193,0.5784693116933076,0.5182700280807696,0.5375463941653781,0.8025547445255474,0.871897810218978,0.9255474452554745,1.4875846121105587,15.0,,
v08_weighted_sampler,safe data strategy,available,0.5423357664233577,0.5107434992450389,0.5691131429559683,0.5225837425330968,0.5369605091810935,0.8029197080291971,0.8708029197080291,0.9211678832116789,1.5765923837775244,15.0,,
v01_char_tfidf_logreg,classical baseline,available,0.5226277372262774,0.46982667674386913,0.3819121128530785,0.4025542625966816,0.4949429085358344,0.7489051094890511,0.8240875912408759,0.8835766423357664,1.7105482672481027,,,
v02_word_tfidf_svm,classical baseline,available,0.5200729927007299,0.5025025781647283,0.4657124066183857,0.47419647174366997,0.5140184147516037,,,,,,,
v03_similarity_retrieval,retrieval baseline,available,0.49744525547445256,0.4815097400950029,0.454436509824751,0.46278856539912183,0.49611957322951167,,,,,,,
v00_majority,sanity baseline,available,0.1251824817518248,0.0034772911597729115,0.027777777777777776,0.006180848380005046,0.027854421823467996,0.12773722627737227,0.12846715328467154,0.1645985401459854,31.531619406464888,,,
