y_category,precision,recall,f1_score,support
0,0.6583333333333333,0.6929824561403509,0.6752136752136753,228.0
1,0.6,0.5789473684210527,0.5892857142857143,57.0
2,0.2830188679245283,0.1851851851851851,0.2238805970149253,81.0
3,0.5543478260869565,0.4322033898305085,0.4857142857142857,118.0
4,0.4705882352941176,0.3,0.366412213740458,80.0
5,0.4339622641509434,0.2804878048780488,0.3407407407407407,82.0
6,0.4225352112676056,0.234375,0.3015075376884422,128.0
7,0.3235294117647059,0.1392405063291139,0.1946902654867256,79.0
8,0.6875,0.4074074074074074,0.5116279069767442,81.0
9,0.3695652173913043,0.3035714285714285,0.3333333333333333,56.0
A,0.0,0.0,0.0,4.0
B,0.7028985507246377,0.8362068965517241,0.7637795275590551,116.0
C,0.8181818181818182,0.6585365853658537,0.7297297297297297,41.0
D,0.5256410256410257,0.6119402985074627,0.5655172413793104,67.0
E,0.4603174603174603,0.58,0.5132743362831859,100.0
F,0.5753424657534246,0.6885245901639344,0.6268656716417911,61.0
G,0.4827586206896552,0.6511627906976745,0.5544554455445545,43.0
H,0.55,0.7586206896551724,0.6376811594202898,29.0
I,0.6063829787234043,0.7702702702702703,0.6785714285714286,74.0
J,0.4666666666666667,0.5957446808510638,0.5233644859813084,47.0
K,0.5684210526315789,0.7105263157894737,0.631578947368421,76.0
L,0.4230769230769231,0.5,0.4583333333333333,22.0
M,0.6805555555555556,0.8448275862068966,0.7538461538461538,58.0
N,0.5234899328859061,0.7289719626168224,0.609375,107.0
O,0.5494186046511628,0.627906976744186,0.586046511627907,301.0
P,0.7894736842105263,0.75,0.7692307692307693,20.0
Q,0.3125,0.3448275862068966,0.3278688524590163,29.0
R,0.6235294117647059,0.7361111111111112,0.6751592356687898,72.0
S,0.6470588235294118,0.7857142857142857,0.7096774193548387,14.0
T,0.6923076923076923,0.6428571428571429,0.6666666666666666,14.0
U,1.0,0.75,0.8571428571428571,4.0
V,0.4177215189873418,0.336734693877551,0.3728813559322034,98.0
W,0.0,0.0,0.0,1.0
X,0.0,0.0,0.0,2.0
Y,0.4285714285714285,0.4285714285714285,0.4285714285714285,7.0
Z,0.75,0.7784256559766763,0.7639484978540773,343.0
