recipe_name,method,models,families,n_families,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,top_3_accuracy,log_loss
vote_diverse_no_retrieval_val_weighted,vote,v08_safe_dedupe | v04_roberta_cls | v01_char_tfidf_logreg | v02_word_tfidf_svm,roberta_cls | roberta_safe_data | tfidf_char | tfidf_word_svm,4,0.5835766423357664,0.5010742805869203,0.564987866136579,0.5112982898697087,0.5103213924364944,,
vote_validation_top_plus_tfidf_val_weighted,vote,v09_ensemble | v08_safe_dedupe | v04_roberta_cls | v01_char_tfidf_logreg | v02_word_tfidf_svm,previous_ensemble | roberta_cls | roberta_safe_data | tfidf_char | tfidf_word_svm,5,0.5795620437956205,0.5048283324128341,0.5628666207073523,0.5119554869205198,0.5163130770352898,,
vote_validation_top_plus_tfidf,vote,v09_ensemble | v08_safe_dedupe | v04_roberta_cls | v01_char_tfidf_logreg | v02_word_tfidf_svm,previous_ensemble | roberta_cls | roberta_safe_data | tfidf_char | tfidf_word_svm,5,0.5795620437956205,0.5047746297831897,0.5626271343023242,0.5119343589000371,0.5160537445710707,,
vote_diverse_no_retrieval,vote,v08_safe_dedupe | v04_roberta_cls | v01_char_tfidf_logreg | v02_word_tfidf_svm,roberta_cls | roberta_safe_data | tfidf_char | tfidf_word_svm,4,0.5795620437956205,0.4966770554444026,0.561294015848627,0.5104472091903234,0.5032380708627732,,
fallback_v08_to_v06_class_weighted_0.35_0.55_0.1,fallback,v08_safe_dedupe -> v06_class_weighted,roberta_imbalance | roberta_safe_data,2,0.5766423357664233,0.512239272057358,0.558838261205956,0.5154346195063454,0.5341764335027437,0.8737226277372263,1.3488921500832274
fallback_v08_to_v06_class_weighted_0.45_0.6_0.1,fallback,v08_safe_dedupe -> v06_class_weighted,roberta_imbalance | roberta_safe_data,2,0.5755474452554744,0.5108330584151086,0.5592463991243009,0.5097997082418413,0.5363218119983989,0.872992700729927,1.3792031786373133
blend_v08_55_v01_char_tfidf_logreg,proba,v08_safe_dedupe | v01_char_tfidf_logreg,roberta_safe_data | tfidf_char,2,0.5751824817518248,0.48432741533202583,0.5530190385831445,0.5102786536496188,0.49342196053714626,0.8861313868613139,1.3541984946079721
blend_v08_65_v01_char_tfidf_logreg,proba,v08_safe_dedupe | v01_char_tfidf_logreg,roberta_safe_data | tfidf_char,2,0.5733576642335766,0.48291300128317693,0.5518520462649141,0.5073385133149637,0.49259948190057323,0.8846715328467153,1.3300062045210708
vote_roberta_diverse,vote,v08_safe_dedupe | v04_roberta_cls | v05_roberta_mean | v06_class_weighted | v08_weighted_sampler,roberta_cls | roberta_imbalance | roberta_mean | roberta_safe_data,4,0.572992700729927,0.5271452607651896,0.5612361288846236,0.5336595664520378,0.5422429225794394,,
vote_public_top_diverse_val_weighted,vote,v08_safe_dedupe | v04_roberta_cls | v07_mean_tuning | v01_char_tfidf_logreg | v02_word_tfidf_svm,roberta_cls | roberta_safe_data | roberta_tuned | tfidf_char | tfidf_word_svm,5,0.5726277372262774,0.49765594256814744,0.5553579242829314,0.5072066680169578,0.5089048174814246,,
vote_roberta_diverse_val_weighted,vote,v08_safe_dedupe | v04_roberta_cls | v05_roberta_mean | v06_class_weighted | v08_weighted_sampler,roberta_cls | roberta_imbalance | roberta_mean | roberta_safe_data,4,0.5726277372262774,0.5058191777353398,0.5603352397369029,0.5032676032697994,0.5257464835190516,,
vote_public_top_diverse,vote,v08_safe_dedupe | v04_roberta_cls | v07_mean_tuning | v01_char_tfidf_logreg | v02_word_tfidf_svm,roberta_cls | roberta_safe_data | roberta_tuned | tfidf_char | tfidf_word_svm,5,0.5718978102189781,0.4977624519908825,0.554686963768129,0.508562140559532,0.5082883502643375,,
proba_validation_top,proba,v09_ensemble | v08_safe_dedupe | v04_roberta_cls | v05_roberta_mean,previous_ensemble | roberta_cls | roberta_mean | roberta_safe_data,4,0.5715328467153284,0.5001008673718244,0.5561011298756449,0.5070372137746975,0.5104567948347115,0.8901459854014598,1.2642129581848833
proba_validation_top_val_weighted,proba,v09_ensemble | v08_safe_dedupe | v04_roberta_cls | v05_roberta_mean,previous_ensemble | roberta_cls | roberta_mean | roberta_safe_data,4,0.5715328467153284,0.5001008673718244,0.5561011298756449,0.5070372137746975,0.5104567948347115,0.8905109489051095,1.2639555549168995
blend_v08_65_v09_ensemble,proba,v08_safe_dedupe | v09_ensemble,previous_ensemble | roberta_safe_data,2,0.5715328467153284,0.4969562275708113,0.5536464237264473,0.5092657679579461,0.509504434194914,0.8839416058394161,1.2744051148697906
blend_v08_75_v09_ensemble,proba,v08_safe_dedupe | v09_ensemble,previous_ensemble | roberta_safe_data,2,0.5715328467153284,0.49541295657245743,0.5537755589586298,0.5095264411735805,0.5071213755380766,0.8835766423357664,1.2862471536996738
vote_all_families_val_weighted,vote,v01_char_tfidf_logreg | v02_word_tfidf_svm | v03_similarity_retrieval | v04_roberta_cls | v05_roberta_mean | v06_class_weighted | v06_focal_gamma1 | v06_focal_gamma2 | v07_mean_tuning | v08_safe_dedupe | v08_weighted_sampler | v09_ensemble,previous_ensemble | retrieval | roberta_cls | roberta_imbalance | roberta_mean | roberta_safe_data | roberta_tuned | tfidf_char | tfidf_word_svm,9,0.5711678832116789,0.5040918602010254,0.5562529350657769,0.5077750511199234,0.5167878265125593,,
proba_public_top_plus_tfidf,proba,v08_safe_dedupe | v04_roberta_cls | v07_mean_tuning | v01_char_tfidf_logreg,roberta_cls | roberta_safe_data | roberta_tuned | tfidf_char,4,0.5711678832116789,0.4997888526357769,0.5543166346556573,0.5110873981752857,0.5085238423464021,0.8923357664233577,1.2757911665563701
proba_public_top_plus_tfidf_val_weighted,proba,v08_safe_dedupe | v04_roberta_cls | v07_mean_tuning | v01_char_tfidf_logreg,roberta_cls | roberta_safe_data | roberta_tuned | tfidf_char,4,0.5711678832116789,0.49970042093715894,0.5543945136562182,0.5108832228039355,0.5085054513388692,0.8908759124087591,1.2736447229482077
fallback_v08_to_v06_class_weighted_0.55_0.65_0.15,fallback,v08_safe_dedupe -> v06_class_weighted,roberta_imbalance | roberta_safe_data,2,0.5708029197080292,0.5020249820712306,0.5561742317311887,0.49516984146828147,0.5332102090926292,0.8726277372262774,1.4211121184045608
blend_v08_55_v09_ensemble,proba,v08_safe_dedupe | v09_ensemble,previous_ensemble | roberta_safe_data,2,0.5708029197080292,0.4992048434797211,0.5538238604678107,0.5097899648111622,0.5117397382222144,0.8883211678832117,1.2655376400374632
blend_v08_55_v05_roberta_mean,proba,v08_safe_dedupe | v05_roberta_mean,roberta_mean | roberta_safe_data,2,0.5704379562043795,0.49811160264185994,0.55405618943808,0.5087691702275685,0.5077764074120042,0.8784671532846715,1.3117342072662028
blend_v08_85_v09_ensemble,proba,v08_safe_dedupe | v09_ensemble,previous_ensemble | roberta_safe_data,2,0.5704379562043795,0.48776128234346416,0.5519023059956005,0.5034345200316962,0.5003223835109764,0.8777372262773723,1.3023264942087622
fallback_v08_to_v09_ensemble_0.45_0.6_0.1,fallback,v08_safe_dedupe -> v09_ensemble,previous_ensemble | roberta_safe_data,2,0.5704379562043795,0.48353941760412295,0.5511867885791485,0.505476034739517,0.49564198344682087,0.868978102189781,1.3419994567643616
blend_v08_75_v05_roberta_mean,proba,v08_safe_dedupe | v05_roberta_mean,roberta_mean | roberta_safe_data,2,0.57007299270073,0.48685457253455333,0.5521973090046904,0.5020708636540337,0.49789932467839965,0.8744525547445255,1.3173196681978447
blend_v08_85_v06_focal_gamma1,proba,v08_safe_dedupe | v06_focal_gamma1,roberta_imbalance | roberta_safe_data,2,0.57007299270073,0.4842413608375408,0.5508058705477243,0.5061638704723531,0.4945951152167452,0.8733576642335766,1.3104644266172725
proba_public_top_roberta,proba,v08_safe_dedupe | v04_roberta_cls | v07_mean_tuning | v05_roberta_mean,roberta_cls | roberta_mean | roberta_safe_data | roberta_tuned,4,0.5697080291970803,0.4982728542464991,0.5547974655139717,0.5061563373669522,0.5088591577456442,0.8817518248175182,1.2980487258457505
proba_public_top_roberta_val_weighted,proba,v08_safe_dedupe | v04_roberta_cls | v07_mean_tuning | v05_roberta_mean,roberta_cls | roberta_mean | roberta_safe_data | roberta_tuned,4,0.5697080291970803,0.4982728542464991,0.5547974655139717,0.5061563373669522,0.5088591577456442,0.8821167883211679,1.2979756700799683
fallback_v08_to_v04_roberta_cls_0.45_0.6_0.1,fallback,v08_safe_dedupe -> v04_roberta_cls,roberta_cls | roberta_safe_data,2,0.5697080291970803,0.48351898963136,0.5507936513747328,0.5058068202365132,0.49575788910067,0.8675182481751825,1.3550896018314624
fallback_v08_to_v09_ensemble_0.55_0.65_0.15,fallback,v08_safe_dedupe -> v09_ensemble,previous_ensemble | roberta_safe_data,2,0.5697080291970803,0.48276588433448986,0.5505325339031839,0.5047322261665539,0.49482250251481896,0.8682481751824818,1.342834718653984
fallback_v08_to_v04_roberta_cls_0.35_0.55_0.1,fallback,v08_safe_dedupe -> v04_roberta_cls,roberta_cls | roberta_safe_data,2,0.5697080291970803,0.4825897025368843,0.5503492603449828,0.5006140827730476,0.4954761660278263,0.8678832116788321,1.3490281503057562
vote_diverse_core_val_weighted,vote,v08_safe_dedupe | v04_roberta_cls | v01_char_tfidf_logreg | v02_word_tfidf_svm | v03_similarity_retrieval,retrieval | roberta_cls | roberta_safe_data | tfidf_char | tfidf_word_svm,5,0.5693430656934306,0.4936096888379805,0.5536136792766537,0.5103686648148048,0.4930004671460362,,
blend_v08_75_v06_focal_gamma1,proba,v08_safe_dedupe | v06_focal_gamma1,roberta_imbalance | roberta_safe_data,2,0.5693430656934306,0.4923769302989844,0.5510129057612078,0.5128145405292173,0.49859207607549866,0.8748175182481752,1.2968641498960123
blend_v08_65_v05_roberta_mean,proba,v08_safe_dedupe | v05_roberta_mean,roberta_mean | roberta_safe_data,2,0.5693430656934306,0.4922625480535215,0.5526478715798383,0.5037814023984589,0.502408579619344,0.8766423357664234,1.3131660103133445
