y_category,count,share,rank_by_count,unique_codes
Z,1715,0.1251824817518248,1,239
O,1505,0.10985401459854015,2,216
0,1141,0.08328467153284672,3,393
6,637,0.0464963503649635,4,227
3,592,0.04321167883211679,5,163
B,579,0.04226277372262774,6,144
N,536,0.03912408759124088,7,154
E,500,0.0364963503649635,8,124
V,491,0.03583941605839416,9,129
5,408,0.02978102189781022,10,158
8,406,0.029635036496350364,11,131
2,404,0.02948905109489051,12,168
4,399,0.029124087591240876,13,148
7,395,0.028832116788321167,14,211
K,381,0.02781021897810219,15,128
I,370,0.027007299270072994,16,108
R,357,0.02605839416058394,17,117
D,336,0.024525547445255473,18,85
F,302,0.022043795620437956,19,69
M,288,0.021021897810218976,20,146
1,287,0.02094890510948905,21,75
9,278,0.02029197080291971,22,84
J,234,0.017080291970802918,23,82
G,214,0.015620437956204379,24,81
C,205,0.014963503649635036,25,65
H,146,0.010656934306569343,26,73
Q,145,0.010583941605839416,27,89
L,110,0.008029197080291971,28,60
P,101,0.007372262773722628,29,52
S,71,0.005182481751824818,30,46
T,70,0.0051094890510948905,31,47
Y,36,0.002627737226277372,32,20
A,22,0.001605839416058394,33,15
U,22,0.001605839416058394,34,2
X,10,0.00072992700729927,35,6
W,7,0.0005109489051094891,36,4
