y_category,v05_recall,v05_f1,v06_recall,v06_f1,recall_delta_v06_minus_v05,f1_delta_v06_minus_v05
0,0.6710526315789473,0.6609071274298056,0.6535087719298246,0.6422413793103449,-0.01754385964912275,-0.018665748119460757
1,0.6140350877192983,0.603448275862069,0.5087719298245614,0.5471698113207547,-0.10526315789473684,-0.056278464541314244
2,0.1975308641975308,0.2352941176470588,0.1728395061728395,0.224,-0.0246913580246913,-0.011294117647058788
3,0.4152542372881356,0.4644549763033175,0.4915254237288136,0.4936170212765957,0.07627118644067798,0.02916204497327818
4,0.3125,0.3676470588235294,0.3875,0.3757575757575757,0.07500000000000001,0.008110516934046297
5,0.2804878048780488,0.3129251700680272,0.2682926829268293,0.3358778625954198,-0.012195121951219523,0.02295269252739257
6,0.234375,0.2955665024630542,0.2109375,0.2443438914027149,-0.0234375,-0.05122261106033932
7,0.1772151898734177,0.2372881355932203,0.1645569620253164,0.2203389830508474,-0.012658227848101306,-0.01694915254237289
8,0.382716049382716,0.496,0.3086419753086419,0.3937007874015748,-0.07407407407407407,-0.10229921259842517
9,0.2321428571428571,0.2888888888888888,0.1785714285714285,0.2409638554216867,-0.0535714285714286,-0.047925033467202116
A,0.0,0.0,0.0,0.0,0.0,0.0
B,0.8189655172413793,0.7509881422924901,0.8275862068965517,0.7413127413127413,0.008620689655172376,-0.009675400979748838
C,0.6341463414634146,0.7123287671232876,0.7073170731707317,0.7631578947368421,0.07317073170731703,0.050829127613554514
D,0.5970149253731343,0.5673758865248227,0.582089552238806,0.5531914893617021,-0.01492537313432829,-0.014184397163120588
E,0.52,0.5,0.64,0.5638766519823789,0.12,0.06387665198237891
F,0.6885245901639344,0.6461538461538462,0.639344262295082,0.6290322580645161,-0.0491803278688524,-0.017121588089330064
G,0.627906976744186,0.54,0.4883720930232558,0.4285714285714285,-0.13953488372093026,-0.11142857142857154
H,0.7931034482758621,0.6571428571428571,0.7241379310344828,0.5915492957746479,-0.06896551724137934,-0.06559356136820926
I,0.6756756756756757,0.6410256410256411,0.6486486486486487,0.631578947368421,-0.027027027027026973,-0.009446693657220062
J,0.5957446808510638,0.5185185185185185,0.4042553191489361,0.4042553191489361,-0.19148936170212771,-0.1142631993695824
K,0.5394736842105263,0.5359477124183006,0.6973684210526315,0.6272189349112426,0.1578947368421052,0.09127122249294195
L,0.5,0.4489795918367347,0.5,0.4489795918367347,0.0,0.0
M,0.8448275862068966,0.7424242424242424,0.7931034482758621,0.7131782945736435,-0.051724137931034475,-0.029245947850598975
N,0.6915887850467289,0.5873015873015873,0.7476635514018691,0.64,0.05607476635514019,0.05269841269841269
O,0.654485049833887,0.5845697329376854,0.5913621262458472,0.55625,-0.06312292358803984,-0.028319732937685416
P,0.8,0.7804878048780488,0.75,0.7894736842105263,-0.050000000000000044,0.00898587933247752
Q,0.3448275862068966,0.3448275862068966,0.4137931034482758,0.3809523809523809,0.06896551724137923,0.0361247947454843
R,0.7638888888888888,0.6748466257668712,0.7638888888888888,0.6666666666666666,0.0,-0.008179959100204526
S,0.7857142857142857,0.6666666666666666,0.7857142857142857,0.7586206896551724,0.0,0.09195402298850575
T,0.7857142857142857,0.6875,0.2142857142857142,0.3,-0.5714285714285715,-0.3875
U,0.75,0.8571428571428571,0.75,0.8571428571428571,0.0,0.0
V,0.2755102040816326,0.3176470588235294,0.2346938775510204,0.3066666666666666,-0.040816326530612235,-0.010980392156862806
W,0.0,0.0,0.0,0.0,0.0,0.0
X,0.0,0.0,0.0,0.0,0.0,0.0
Y,0.4285714285714285,0.4,0.4285714285714285,0.4615384615384615,0.0,0.061538461538461486
Z,0.7784256559766763,0.752112676056338,0.8163265306122449,0.7629427792915532,0.03790087463556857,0.01083010323521516
