candidate_version,kind,recipe,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,log_loss,top_3_accuracy
v09_majority_vote,ensemble,"majority vote over ['v04_roberta_cls', 'v05_roberta_mean', 'v08_roberta_mean_dedupe', 'v08_roberta_mean_weighted_sampler', 'v01_tfidf_char_logreg'] with average-probability tie-break",0.5766423357664233,0.5062770090378377,0.5615438906339999,0.5110470717245506,0.5186356137360756,,
v09_low_confidence_tfidf_fallback_0.45_0.65_0.15,ensemble,"weighted neural average, but use TF-IDF char if neural confidence < 0.45, TF-IDF confidence >= 0.65, margin >= 0.15",0.5726277372262774,0.49907098236084735,0.5568545836411171,0.5079101900987365,0.508874767058244,1.2963302008387103,0.8839416058394161
v09_low_confidence_tfidf_fallback_0.4_0.6_0.1,ensemble,"weighted neural average, but use TF-IDF char if neural confidence < 0.4, TF-IDF confidence >= 0.6, margin >= 0.1",0.5722627737226277,0.4989135086315166,0.5565381179634313,0.5076289149924478,0.5087529346995695,1.2966262230686305,0.8839416058394161
v09_weighted_neural_probability_average,ensemble,"weighted neural probability average: {'v04_roberta_cls': 0.36, 'v08_roberta_mean_dedupe': 0.34, 'v05_roberta_mean': 0.3}",0.5718978102189781,0.49878832918743554,0.5562114093774119,0.5074950739495159,0.5086606497235636,1.2969109611895655,0.8839416058394161
v09_low_confidence_tfidf_fallback_0.35_0.55_0.1,ensemble,"weighted neural average, but use TF-IDF char if neural confidence < 0.35, TF-IDF confidence >= 0.55, margin >= 0.1",0.5718978102189781,0.49878832918743554,0.5562114093774119,0.5074950739495159,0.5086606497235636,1.2969109611895655,0.8839416058394161
v09_neural_probability_average,ensemble,"unweighted probability average over CLS, mean, and safe-dedupe mean",0.5708029197080292,0.49775743275066225,0.555205571602505,0.5063775234369249,0.5074183960945748,1.2979218343260193,0.8828467153284671
v04_roberta_cls,individual,individual model,0.5693430656934306,0.49432945894700203,0.5543466521666386,0.49881523385132887,0.5045191941037868,1.3277704442982297,0.8784671532846715
v09_weighted_neural_with_sampler,ensemble,"weighted neural average including sampler model: {'v04_roberta_cls': 0.34, 'v08_roberta_mean_dedupe': 0.3, 'v05_roberta_mean': 0.22, 'v08_roberta_mean_weighted_sampler': 0.14}",0.5686131386861314,0.500297780137697,0.555523208267596,0.4998634751734806,0.5156739359589374,1.2702746650580363,0.8883211678832117
v09_all_probability_average,ensemble,unweighted probability average over selected RoBERTa variants and TF-IDF char,0.5686131386861314,0.49852958747370213,0.5542151893391151,0.4937137270695615,0.5192532991866385,1.233252272764467,0.8945255474452555
v08_roberta_mean_dedupe,individual,individual model,0.5686131386861314,0.4816478629114776,0.5491498480063064,0.503277864781135,0.49399601657663944,1.344397675534615,0.8682481751824818
v05_roberta_mean,individual,individual model,0.5645985401459854,0.49656689039778307,0.5495406105287156,0.49909838983819566,0.5114283143972703,1.366716727385516,0.8806569343065693
v06_roberta_mean_focal_gamma2,individual,individual model,0.5554744525547445,0.492845903046953,0.5423962078956412,0.48679397410955694,0.5138414344723392,1.2753508280999852,0.8843065693430657
v06_roberta_mean_class_weighted,individual,individual model,0.5445255474452555,0.5182700280807696,0.5375463941653781,0.49483968736592193,0.5784693116933076,1.4875846131092894,0.871897810218978
v08_roberta_mean_weighted_sampler,individual,individual model,0.5423357664233577,0.5225837425330968,0.5369605091810935,0.5107434992450389,0.5691131429559683,1.5765923838402465,0.8708029197080291
v01_tfidf_char_logreg,individual,individual model,0.5226277372262774,0.4025542625966816,0.4949429085358344,0.46982667674386913,0.3819121128530785,1.7105482672481014,0.8240875912408759
